Date,IBM_Close,TSMC_Close,SP500,DJIA
4-Jan-16,135.95,22.09,3763.98999,17148.93945
5-Jan-16,135.85,21.95,3771.570068,17158.66016
6-Jan-16,135.17,21.34,3723.439941,16906.50977
7-Jan-16,132.86,21.1,3635.290039,16514.09961
8-Jan-16,131.63,20.81,3595.909912,16346.4502
11-Jan-16,133.23,20.93,3598.969971,16398.57031
12-Jan-16,132.9,20.75,3627.060059,16516.2207
13-Jan-16,131.17,20.48,3536.919922,16151.41016
14-Jan-16,132.91,21.82,3596.030029,16379.04981
15-Jan-16,130.03,21.1,3518.51001,15988.08008
19-Jan-16,128.11,21.66,3520.399902,16016.01953
20-Jan-16,121.86,21.09,3479.75,15766.74023
21-Jan-16,122.91,21.33,3497.939941,15882.67969
22-Jan-16,122.5,21.93,3568.899902,16093.50977
25-Jan-16,122.08,21.79,3513.110107,15885.21973
26-Jan-16,122.59,21.59,3562.810059,16167.23047
27-Jan-16,120.96,21.68,3524.330078,15944.45996
28-Jan-16,122.22,21.63,3544.129883,16069.63965
29-Jan-16,124.79,22.35,3631.959961,16466.30078
1-Feb-16,124.83,22.46,3630.459961,16449.17969
2-Feb-16,122.94,22.56,3562.52002,16153.54004
3-Feb-16,124.72,22.92,3581.530029,16336.66016
4-Feb-16,127.65,23.23,3587.709961,16416.58008
5-Feb-16,128.57,22.75,3521.600098,16204.96973
8-Feb-16,126.98,22.8,3472.080078,16027.04981
9-Feb-16,124.07,22.56,3470.5,16014.37988
10-Feb-16,120.19,22.3,3471.040039,15914.74023
11-Feb-16,117.85,22,3428.98999,15660.17969
12-Feb-16,121.04,22.24,3496.280029,15973.83984
16-Feb-16,122.74,23.34,3555.199951,16196.41016
17-Feb-16,126.1,23.64,3614.159912,16453.83008
18-Feb-16,132.45,23.8,3597.48999,16413.42969
19-Feb-16,133.08,23.78,3597.919922,16391.99023
22-Feb-16,133.77,23.96,3649.919922,16620.66016
23-Feb-16,132.4,23.4,3604.679932,16431.7793
24-Feb-16,132.8,23.42,3620.870117,16484.99023
25-Feb-16,134.5,23.69,3662.840088,16697.28906
26-Feb-16,132.03,23.77,3656.419922,16639.9707
29-Feb-16,131.03,23.55,3627.060059,16516.5
1-Mar-16,134.37,24.58,3713.699951,16865.08008
2-Mar-16,136.3,24.62,3729.590088,16899.32031
3-Mar-16,137.8,24.56,3743.02002,16943.90039
4-Mar-16,137.8,24.65,3755.469971,17006.76953
7-Mar-16,140.15,24.7,3759.050049,17073.94922
8-Mar-16,139.07,24.65,3717.48999,16964.09961
9-Mar-16,140.41,24.74,3736.919922,17000.35938
10-Mar-16,140.19,24.74,3737.73999,16995.13086
11-Mar-16,142.36,25.35,3800.070068,17213.31055
14-Mar-16,142.78,25.22,3795.530029,17229.13086
15-Mar-16,142.96,24.88,3788.620117,17251.5293
16-Mar-16,144.79,25.78,3810.090088,17325.75977
17-Mar-16,147.04,25.77,3835.26001,17481.49023
18-Mar-16,147.09,26.04,3852.149902,17602.30078
21-Mar-16,148.63,25.93,3855.969971,17623.86914
22-Mar-16,148.1,25.81,3853.179932,17582.57031
23-Mar-16,145.4,25.68,3828.580078,17502.58984
24-Mar-16,147.95,25.73,3827.139893,17515.73047
28-Mar-16,148.4,25.63,3829.26001,17535.39063
29-Mar-16,149.33,25.97,3863.800049,17633.10938
30-Mar-16,148.41,26.46,3881.01001,17716.66016
31-Mar-16,151.45,26.2,3873.110107,17685.08984
1-Apr-16,152.52,26.12,3897.659912,17792.75
4-Apr-16,152.07,25.85,3886,17737
5-Apr-16,150,25.51,3846.590088,17603.32031
6-Apr-16,150.02,25.62,3888.409912,17716.05078
7-Apr-16,148.25,25.37,3841.97998,17541.96094
8-Apr-16,149.35,25.28,3852.719971,17576.96094
11-Apr-16,149.25,25.51,3842.169922,17556.41016
12-Apr-16,149.63,25.57,3879.419922,17721.25
13-Apr-16,151.23,26.17,3918.949951,17908.2793
14-Apr-16,151.16,25.3,3920.030029,17926.42969
15-Apr-16,151.72,25.46,3916.169922,17897.46094
18-Apr-16,152.53,25.5,3941.860107,18004.16016
19-Apr-16,144,25.16,3954.01001,18053.59961
20-Apr-16,146.11,25.12,3957.25,18096.26953
21-Apr-16,149.3,25.16,3936.800049,17982.51953
22-Apr-16,148.5,25.07,3937,18003.75
25-Apr-16,148.81,25.01,3929.879883,17977.24023
26-Apr-16,149.08,25.01,3937.22998,17990.32031
27-Apr-16,150.47,25.25,3944.02002,18041.55078
28-Apr-16,147.07,24.16,3907.879883,17830.75977
29-Apr-16,145.94,23.59,3888.129883,17773.64063
2-May-16,145.27,23.69,3918.530029,17891.16016
3-May-16,144.13,23.32,3884.629883,17750.91016
4-May-16,144.25,23.42,3862.399902,17651.25977
5-May-16,146.47,23.5,3862.399902,17660.71094
6-May-16,147.29,23.41,3875.179932,17740.63086
9-May-16,147.34,23.37,3878.139893,17705.91016
10-May-16,149.97,23.39,3926.629883,17928.34961
11-May-16,148.95,23.22,3891.129883,17711.11914
12-May-16,148.84,22.99,3890.850098,17720.5
13-May-16,147.72,22.82,3858.169922,17535.32031
16-May-16,149.46,23.11,3896.360107,17710.71094
17-May-16,148,22.95,3860.879883,17529.98047
18-May-16,147.34,23.52,3862.25,17526.61914
19-May-16,144.93,23.25,3847.969971,17435.40039
20-May-16,147.25,23.91,3871.75,17500.93945
23-May-16,146.77,24.27,3863.820068,17492.92969
24-May-16,148.31,24.47,3916.77002,17706.05078
