Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,null,null,null,null,null,null
2000-11-14,5747.000000,5855.279785,5721.689941,5772.509766,5772.509766,0
2000-11-15,5896.640137,5942.060059,5696.009766,5737.020020,5737.020020,0
2000-11-16,5554.000000,5581.930176,5436.850098,5454.129883,5454.129883,0
2000-11-17,5264.930176,5367.649902,5168.970215,5351.359863,5351.359863,0
2000-11-20,4994.729980,5036.620117,4841.669922,4845.209961,4845.209961,0
2000-11-21,4770.779785,5103.000000,4760.680176,5103.000000,5103.000000,0
2000-11-22,5128.979980,5293.890137,5113.220215,5130.609863,5130.609863,0
2000-11-23,5057.299805,5148.299805,5032.200195,5146.919922,5146.919922,0
2000-11-24,5218.180176,5423.430176,5218.180176,5419.990234,5419.990234,0
2000-11-27,5510.799805,5526.129883,5384.040039,5433.779785,5433.779785,0
2000-11-28,5388.680176,5411.000000,5337.419922,5362.259766,5362.259766,0
2000-11-29,5275.379883,5386.359863,5266.140137,5319.459961,5319.459961,0
2000-11-30,5323.700195,5372.009766,5223.310059,5256.930176,5256.930176,0
2000-12-01,5173.020020,5342.060059,5163.229980,5342.060059,5342.060059,0
2000-12-04,5239.819824,5243.049805,5168.910156,5174.020020,5174.020020,0
2000-12-05,5139.529785,5241.169922,5102.680176,5199.200195,5199.200195,0
2000-12-06,5323.200195,5366.790039,5164.430176,5170.620117,5170.620117,0
2000-12-07,5131.939941,5216.220215,5131.939941,5212.729980,5212.729980,0
2000-12-08,5216.359863,5269.620117,5186.350098,5252.830078,5252.830078,0
2000-12-11,5283.810059,5300.299805,5237.189941,5284.410156,5284.410156,0
2000-12-12,5320.609863,5403.140137,5320.609863,5380.089844,5380.089844,0
2000-12-13,5380.339844,5397.290039,5332.520020,5384.359863,5384.359863,0
2000-12-14,5350.259766,5350.259766,5274.149902,5320.160156,5320.160156,0
2000-12-15,5256.089844,5264.180176,5202.040039,5224.740234,5224.740234,0
2000-12-18,5116.069824,5127.729980,5022.339844,5055.200195,5055.200195,0
2000-12-19,5004.600098,5044.069824,4957.270020,5040.250000,5040.250000,0
2000-12-20,4966.799805,4998.350098,4919.200195,4947.890137,4947.890137,0
2000-12-21,4834.759766,4834.759766,4797.270020,4817.220215,4817.220215,0
2000-12-22,4765.100098,4888.350098,4728.410156,4811.220215,4811.220215,0
2000-12-25,null,null,null,null,null,null
2000-12-26,4871.859863,4880.410156,4711.379883,4721.359863,4721.359863,0
2000-12-27,4663.649902,4663.649902,4602.950195,4614.629883,4614.629883,0
2000-12-28,4581.060059,4797.140137,4555.910156,4797.140137,4797.140137,0
2000-12-29,4797.080078,4813.640137,4728.430176,4743.939941,4743.939941,0
2001-01-01,null,null,null,null,null,null
2001-01-02,4717.490234,4945.089844,4678.000000,4935.279785,4935.279785,0
2001-01-03,4843.540039,4970.450195,4831.120117,4894.790039,4894.790039,0
2001-01-04,5028.319824,5169.129883,5028.319824,5136.129883,5136.129883,0
2001-01-05,5153.009766,5298.430176,5117.629883,5295.529785,5295.529785,0
2001-01-08,5248.100098,5368.770020,5188.509766,5188.509766,5188.509766,0
2001-01-09,5206.500000,5376.120117,5206.500000,5376.120117,5376.120117,0
2001-01-10,5406.129883,5476.899902,5350.069824,5436.779785,5436.779785,0
2001-01-11,5475.589844,5531.200195,5348.339844,5369.240234,5369.240234,0
2001-01-12,5404.350098,5423.189941,5288.790039,5339.399902,5339.399902,0
2001-01-15,5292.750000,5380.490234,5254.830078,5379.660156,5379.660156,0
2001-01-16,5399.700195,5665.979980,5399.700195,5662.939941,5662.939941,0
2001-01-17,5702.870117,5805.259766,5652.520020,5769.950195,5769.950195,0
2001-01-18,5803.520020,5892.529785,5734.490234,5847.910156,5847.910156,0
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,5850.700195,5933.680176,5680.060059,5680.060059,5680.060059,0
2001-01-30,5685.189941,5792.500000,5577.870117,5792.500000,5792.500000,0
2001-01-31,5853.620117,5992.430176,5821.890137,5936.200195,5936.200195,0
2001-02-01,5927.250000,5975.049805,5850.990234,5897.930176,5897.930176,0
2001-02-02,5958.779785,6103.100098,5958.779785,6049.259766,6049.259766,0
2001-02-05,6012.430176,6012.430176,5867.790039,5932.419922,5932.419922,0
2001-02-06,5905.600098,6042.720215,5828.330078,5849.060059,5849.060059,0
2001-02-07,5738.660156,5781.200195,5685.589844,5693.580078,5693.580078,0
2001-02-08,5693.629883,5763.140137,5653.859863,5758.600098,5758.600098,0
2001-02-09,5782.419922,5893.399902,5742.450195,5809.839844,5809.839844,0
2001-02-12,5807.609863,5894.270020,5795.680176,5847.069824,5847.069824,0
2001-02-13,5922.020020,6027.490234,5917.629883,6027.490234,6027.490234,0
2001-02-14,6060.890137,6097.290039,5881.040039,5887.680176,5887.680176,0
2001-02-15,5963.069824,6104.240234,5945.060059,6104.240234,6104.240234,0
2001-02-16,6156.359863,6198.220215,5997.629883,6045.669922,6045.669922,0
2001-02-19,5921.180176,5991.290039,5846.069824,5937.299805,5937.299805,0
2001-02-20,5992.740234,6079.620117,5946.350098,5971.290039,5971.290039,0
2001-02-21,5920.950195,5957.779785,5863.140137,5949.959961,5949.959961,0
2001-02-22,5885.669922,5885.669922,5733.350098,5759.040039,5759.040039,0
2001-02-23,5727.029785,5778.100098,5678.229980,5726.930176,5726.930176,0
2001-02-26,5746.649902,5789.169922,5708.169922,5716.020020,5716.020020,0
2001-02-27,5788.020020,5805.399902,5660.140137,5674.689941,5674.689941,0
2001-02-28,null,null,null,null,null,null
2001-03-01,5581.950195,5584.459961,5478.649902,5499.859863,5499.859863,0
2001-03-02,5536.189941,5561.379883,5471.620117,5499.540039,5499.540039,0
2001-03-05,5506.600098,5610.899902,5473.009766,5609.740234,5609.740234,0
2001-03-06,5689.640137,5736.319824,5626.870117,5635.060059,5635.060059,0
2001-03-07,5735.790039,5793.759766,5735.790039,5777.129883,5777.129883,0
2001-03-08,5794.339844,5794.339844,5697.669922,5711.020020,5711.020020,0
2001-03-09,5655.919922,5683.109863,5632.259766,5680.430176,5680.430176,0
2001-03-12,5578.689941,5615.819824,5556.069824,5582.669922,5582.669922,0
2001-03-13,5509.790039,5646.859863,5498.560059,5610.399902,5610.399902,0
2001-03-14,5683.879883,5703.520020,5642.259766,5658.209961,5658.209961,0
2001-03-15,5656.419922,5747.009766,5600.660156,5742.740234,5742.740234,0
2001-03-16,5749.479980,5846.390137,5749.479980,5783.930176,5783.930176,0
2001-03-19,5783.020020,5791.379883,5629.120117,5641.890137,5641.890137,0
