Date,Open,High,Low,Close,Adj Close,Volume
2002/12/24,27.48,27.74,27.45,27.54,26.143,4551100
2002/12/26,27.51,27.91,27.21,27.38,25.9912,8836100
2002/12/27,27.25,27.45,26.83,27.02,25.6494,11441200
2002/12/30,27.05,27.39,26.5,26.9,25.5355,16208500
2002/12/31,26.85,27.11,26.51,26.74,25.3836,12699900
2003/1/2,27.1,27.84,26.8,27.71,26.3044,20704000
2003/1/3,27.61,27.84,27.23,27.79,26.3804,16796800
2003/1/6,27.72,28.7,27.7,28.35,26.912,22677900
2003/1/7,28.63,28.98,28.36,28.65,27.1967,24141800
2003/1/8,28.35,28.52,28.04,28.32,26.8835,23350100
2003/1/9,28.57,29,28.1,28.3,26.8645,30243400
2003/1/10,27.9,28.14,26.98,27.15,25.7728,51943400
2003/1/13,26.98,27.09,25.43,25.98,24.6622,57713700
2003/1/14,25.92,26.601,25.73,26.4,25.0609,28999500
2003/1/15,26.7,26.85,25.71,25.96,24.6432,30484000
2003/1/16,25.94,26.59,25.35,25.6,24.3014,24753800
2003/1/17,25,25.13,24.29,24.83,23.5705,33578500
2003/1/21,24.79,25.3,24.68,24.75,23.4946,28312100
2003/1/22,24.55,24.96,24.39,24.57,23.3237,31235100
2003/1/23,24.88,25.58,24.8,25.21,23.9312,25107000
2003/1/24,25.13,25.2,24.26,24.38,23.1433,21717800
2003/1/27,24.1,24.48,23.87,24,22.7826,26766500
2003/1/28,24.27,25.4,24.06,24.81,23.5515,25276700
2003/1/29,24.27,25.4,24.06,24.81,23.5515,25300600
2003/1/30,25.44,25.5,24.15,24.18,22.9535,24829800
2003/1/31,23.34,24.15,23.25,23.86,22.6497,35799600
2003/2/3,24.07,24.31,23.68,23.96,22.7446,18068700
2003/2/4,23.47,24.54,23.25,24.43,23.1908,29587100
2003/2/5,24.62,25.1,23.94,24.17,22.944,22484000
2003/2/6,24.06,24.5,23.46,24.02,22.8016,21557900
2003/2/7,24.13,24.18,22.87,23.34,22.1561,28825500
2003/2/10,23.27,23.31,22.59,22.86,21.7004,30190600
2003/2/11,23.25,23.7,23.04,23.24,22.0612,23819800
2003/2/12,23.25,23.54,22.93,22.94,21.7764,17209700
2003/2/13,23.03,23.35,22.82,23.25,22.0706,23971300
2003/2/14,24.55,25.79,24.5,25.77,24.4628,60762100
2003/2/18,25.73,26.5,25.51,26.49,25.1463,33331400
2003/2/19,26.2,26.39,25.73,26.11,24.7856,24142200
2003/2/20,26.15,26.5,26.13,26.34,25.0039,20892100
2003/2/21,26.45,27,26.16,26.84,25.4785,22992100
2003/2/24,26.73,26.8,26.23,26.38,25.0419,17061700
2003/2/25,26.03,26.64,25.72,26.51,25.1653,22360900
2003/2/26,26.11,26.35,25.69,25.78,24.4723,18797700
2003/2/27,26.01,26.55,25.92,26.51,25.1653,24356100
2003/2/28,26.63,27.7,26.6,26.96,25.5925,22857000
2003/3/3,27.1,27.2,26.22,26.46,25.1178,17506500
2003/3/4,26.52,26.59,26.02,26.13,24.8046,15345100
2003/3/5,26.1,26.72,26.06,26.68,25.3267,18678400
2003/3/6,26.43,26.45,25.92,26,24.6812,21773800
2003/3/7,25.58,26.83,25.5,26.73,25.3741,25543300
2003/3/10,26.5,26.65,25.81,25.95,24.6337,16800900
2003/3/11,26.05,26.18,25.61,25.74,24.4343,20117000
2003/3/12,25.72,26.01,25.14,26.01,24.6906,24994200
2003/3/13,26.4,27.08,26.1,26.89,25.526,27493100
2003/3/14,26.82,27.12,26.1,26.5,25.1558,35153500
2003/3/17,26.35,28.28,26.3,28.16,26.7316,38404400
2003/3/18,27.98,28.13,27.65,28.06,26.6367,23597800
2003/3/19,28.04,28.7,27.95,28.57,27.1208,23806400
2003/3/20,28.17,28.81,27.72,28.1,26.6746,21269900
2003/3/21,28.63,28.8,28.15,28.78,27.3201,27921500
2003/3/24,28.09,28.37,27.66,27.81,26.3993,21189800
2003/3/25,27.95,28.43,27.83,28.13,26.7031,18891200
2003/3/26,28.08,28.21,27.8,27.85,26.4373,14509800
2003/3/27,27.5,28.18,27.45,27.84,26.4278,18536900
2003/3/28,27.65,28.03,27.56,27.7,26.2949,12234600
2003/3/31,27.4,27.52,27.06,27.31,25.9247,21307300
2003/4/1,27.4,27.629,27.15,27.21,25.8298,20779300
2003/4/2,27.7489,28.43,27.72,28.09,26.6651,22213100
2003/4/3,28.54,29.1,28.26,28.67,27.2157,30154100
2003/4/4,29.15,29.2,28.67,28.87,27.4056,28160600
2003/4/7,29.67,29.772,28.84,28.88,27.4151,26939800
2003/4/8,28.93,29,28.426,28.59,27.1398,18474300
2003/4/9,28.46,28.75,27.988,28.01,26.5892,19198600
2003/4/10,28.06,28.47,27.9,28.33,26.893,17497800
2003/4/11,28.55,29.25,28,28.29,26.855,15601600
2003/4/14,28.34,28.98,28.23,28.68,27.2252,16667600
2003/4/15,28.69,29.03,28.5,28.84,27.3771,15050200
2003/4/16,29.31,29.58,29.122,29.24,27.7568,21207300
2003/4/17,29.27,29.7,28.87,29.5,28.0036,19212800
2003/4/21,29.71,29.733,29.28,29.48,27.9846,13501500
2003/4/22,29.36,30,29.3,29.89,28.3738,18506200
2003/4/23,29.81,30.04,29.68,29.89,28.3738,14499300
2003/4/24,29.49,29.78,29.01,29.62,28.1175,17456400
2003/4/25,29.49,29.57,28.95,29.11,27.6334,14107300
2003/4/28,29.1,29.51,28.86,29.33,27.8422,15569400
2003/4/29,29.25,29.83,29.169,29.75,28.2409,18128500
2003/4/30,29.45,29.54,28.637,28.98,27.51,24798400
2003/5/1,28.96,29.24,28.749,29.18,27.6999,19340300
2003/5/2,29.19,29.651,29.06,29.57,28.0701,15219000
2003/5/5,29.72,29.79,29.37,29.5,28.0036,13502700
2003/5/6,29.488,31.03,29.37,30.51,28.9624,35953800
2003/5/7,30.41,31.36,30.34,30.64,29.0858,26027000
2003/5/8,30.37,30.59,30.049,30.2,28.6681,20922500
2003/5/9,30.45,31.254,30.45,31.09,29.513,22900900
2003/5/12,31.03,32.33,30.92,31.9,30.2819,30950800
2003/5/13,31.87,32.53,31.66,32.45,30.804,26188800
