Date,TAIEX,HIS,N225,SSEI
2006/11/17,null,null,null,null
2006/11/20,7606.200195,15073.09961,18532.81055,1424.848022
2006/11/21,7645.779785,15285.03027,18570.83984,1416.725952
2006/11/22,7718.060059,15393.2002,18822.11914,1428.938965
2006/11/24,7770.810059,15307.28027,null,1417.107056
2006/11/27,8052.310059,14998.76953,18896.21094,1422.262939
2006/11/28,8046.189941,15274.53027,18721.7793,1451.057007
2006/11/29,7921.850098,15461.11035,18914.5,1434.866943
2006/11/30,7904.529785,15377.19043,18850.26953,1419.551025
2006/12/1,7595.439941,15422.51953,18558.23047,1419.550049
2006/12/4,7823.899902,15603.04004,18495.94922,1395.496948
2006/12/5,7720.870117,15840.41016,18514.41016,1387.51001
2006/12/6,7766.200195,16168.62012,18368.14063,1369.46106
2006/12/7,7806.259766,16073.08984,18507.19922,1355.366943
2006/12/8,7933.169922,15989.37988,18593.96094,1345.352051
2006/12/11,7894.459961,16370.9502,18401.19922,1348.821045
2006/12/12,7827.049805,16380.20996,18260.7207,1356.926025
2006/12/13,7811.02002,16442.10938,18271.84961,1366.579956
2006/12/14,7738.839844,16282.7002,18205.08008,1366.579956
2006/12/15,7733.740234,15825.30957,18165.55078,1366.579956
2006/12/18,7883.609863,15571.36035,18138.35938,1406.370972
2006/12/19,7850.140137,15986.34961,18111.31055,1409.682007
2006/12/20,7859.890137,16212.38965,18095.11914,1463.942017
2006/12/21,7739.759766,16248.74023,18175.49023,1516.604004
2006/12/22,7723.220215,16192.40039,18080.38086,1545.112061
2006/12/26,7782.939941,16296.08008,18461.92969,1479.781006
2006/12/27,7934.259766,16833.2793,null,1438.02002
2006/12/28,8002.759766,null,18584.94922,1424.442017
2006/12/29,8083.490234,16928.28906,18546.90039,1408.848022
2007/1/3,8219.450195,16660.82031,18783.51953,1433.329956
2007/1/4,8415.070313,16962.09961,18810.58008,1426.623047
2007/1/5,8448.839844,null,18934.33984,1440.723999
2007/1/8,null,17369.63086,null,1466.863037
2007/1/9,null,17072.82031,null,1465.084961
2007/1/10,null,15846.71973,19002.85938,1477.343994
2007/1/11,null,15153.23047,18542.55078,1476.505981
2007/1/12,8756.549805,15405.62988,18168.26953,1481.116943
2007/1/16,8849.870117,15848.15039,18193.41016,1506.766968
2007/1/17,8922.030273,15862.09961,null,1534.996948
2007/1/18,8849.870117,15714.2002,18850.91992,1535
2007/1/19,9102.599609,15633.95996,18677.41992,1535
2007/1/22,8927.030273,15542.23047,18833.28906,1535
2007/1/23,9144.650391,15574.55957,18956.55078,1535
2007/1/24,9107.19043,15789.2002,19437.23047,1535
2007/1/25,9023.240234,15275.33984,19196.57031,1535
2007/1/26,9315.429688,15215.30957,18897.75,1535
2007/1/29,9250.19043,15108.41016,19008.00977,1535
2007/1/30,9151.44043,15167.54981,18878.08984,1535
2007/1/31,9136.950195,15103.04004,19056.71094,1535
2007/2/1,9255.94043,15427.71973,18895.5293,1673.942993
2007/2/2,9387.070313,15917.80957,19111.18945,1670.670044
2007/2/5,9372.370117,16185.94043,19209.7207,1693.109009
2007/2/6,9581.959961,15532.33984,19434.7793,1640.649048
2007/2/7,9628.980469,15653.86035,19539.69922,1668.090942
2007/2/8,9696.910156,15789.82031,19423.38086,1677.135986
2007/2/9,9744.889648,15968.12012,19578.91016,1632.293945
2007/2/12,9856.389648,null,19786.41992,1594.930054
2007/2/13,null,null,19763.13086,1634.30896
2007/2/14,null,16228.73047,19945.42969,1631.57605
2007/2/15,null,16819.46094,19868.88086,1704.85498
2007/2/16,null,16845.16992,20007.76953,1714.578003
2007/2/20,null,17380.30078,19710.01953,1704.85498
2007/2/21,10008.87988,17188.96094,null,1713.014038
2007/2/22,10057.66992,16688.16016,19556.46094,1738.020996
2007/2/23,10128.66992,17043.39063,19367.83008,1681.084961
2007/2/26,9971.450195,16981.23047,19599.17969,1694.797974
2007/2/27,9957.740234,16599.16016,19791.40039,1726.032959
2007/2/28,10064.49023,16322.37012,19789.0293,1732.345947
2007/3/1,10202.2002,16255.16992,19543.75,1705.04895
2007/3/2,10096.37988,16376.79004,19390.58008,1728.886963
2007/3/5,9912.669922,17058.66016,19519.55078,1685.347046
2007/3/6,9731.929688,17200.98047,19571.43945,1681.470947
2007/3/7,9642.259766,16984.43945,19817.88086,1607.526978
2007/3/8,9599.169922,17169.43945,19720.09961,1658.600952
2007/3/9,9432.490234,16843.58984,19959.51953,1699.248047
2007/3/12,null,16936.81055,20081.66992,1710.323975
2007/3/13,9435.94043,17285.24023,20065.10938,1720.446045
2007/3/14,9689.099609,17758.75977,19927.53906,1747.240967
2007/3/15,9543.820313,17865.35938,19796.34961,1730.499023
2007/3/16,9588.030273,17951.42969,19944.24023,1775.91394
2007/3/19,9367.910156,17637.0293,19766.80078,1791.44104
2007/3/20,9380.070313,17831.85938,19662.33008,1788.807007
2007/3/21,9389.490234,17096.67969,19750.40039,1810.984009
2007/3/22,9587.269531,16929.16016,19189.92969,1800.224976
2007/3/23,9429.599609,16747.19922,19141.83984,1801.003052
2007/3/26,8811.950195,16359,19078.59961,1760.692017
2007/3/27,8835.580078,17082.99023,19253.23047,1771.198975
2007/3/28,8640.030273,17234.46094,19566.32031,1809.140991
2007/3/29,8682.759766,17199.98047,null,1819.895996
2007/3/30,8763.269531,17547.03906,19602.35938,1826.061035
2007/4/2,8536.049805,17715.58008,19733.58984,1821.17395
2007/4/3,9004.480469,17784.57031,19704.59961,1807.328003
2007/4/4,9069.389648,18292.85938,19958.08008,1831.547974
2007/4/5,9533.870117,18301.68945,20281.0293,1833.665039
2007/4/9,9482.639648,18096.36914,20374.33984,1795.057983
2007/4/10,9807.570313,17467.15039,20706.65039,1813.494995
2007/4/11,9856.599609,17406.53906,20441.5,1828.709961
2007/4/12,9805.69043,16892.92969,20337.32031,1847.026978
2007/4/13,9931.94043,null,20726.99023,1841.063965
2007/4/16,9854.950195,16318.44043,20594.92969,1837.397949
2007/4/17,10050.42969,16491.39063,20462.76953,1833.468994
2007/4/18,null,16941.67969,20223.60938,1832.779053
2007/4/19,10186.16992,16850.74023,20252.81055,1806.829956
2007/4/20,9969.280273,16487.66016,20619.06055,1836.321045
2007/4/23,9921.030273,16577.08984,20522.51953,1836.319946
2007/4/24,10127.48047,16352.55957,20833.21094,1836.319946
2007/4/25,10068.04981,16142.75977,20526.41992,1836.319946
2007/4/26,9911.389648,14762.37012,20434.67969,1836.319946
2007/4/27,9662.599609,15278.32031,19008.64063,1836.319946
2007/4/30,9374.610352,15427.2002,18969.51953,1836.636963
2007/5/1,8993.679688,15367.13965,19086.61914,1806.637939
2007/5/2,9307.030273,null,18959.32031,1752.688965
2007/5/3,9104.400391,null,18252.67969,1724.047974
2007/5/4,9109.049805,15380.00977,18480.15039,1720.608032
2007/5/7,9120.480469,15227.38965,18272.33008,1704.587036
2007/5/8,8808.089844,15192.87012,18134.31055,1724.537964
2007/5/9,8921.120117,15519.29981,18019.16992,1725.397949
2007/5/10,8535.959961,null,17973.69922,1758.536987
2007/5/11,8541.950195,15817.75977,18403.08008,1777.828003
2007/5/14,8824.360352,15577.46973,18439.35938,1824.735962
2007/5/15,null,15314.07031,null,1832.074951
2007/5/16,8638.75,15268.63965,null,1855.493042
2007/5/17,8420,14901,null,1880.703979
2007/5/18,8425.379883,14776.90039,18199.96094,1879.616943
2007/5/21,8698.530273,14492.91992,17844.53906,1898.748047
2007/5/22,8616.179688,null,17701.4707,1877.470947
2007/5/23,8635.839844,15111.94043,16882.46094,1894.553955
2007/5/24,8559.870117,14881.29981,17357.85938,1903.488037
2007/5/25,8349.910156,15160.29004,17313.68945,1916.25
2007/5/29,8560.44043,14827.80957,17551.25,1899.092041
2007/5/30,8465.019531,14322.59961,17404.0293,1925.543945
2007/5/31,8727.820313,14478.25977,17031.63086,1935.031006
2007/6/1,9085.740234,14140.73047,16858.16992,1925.206055
2007/6/4,9087.209961,14257.17969,16386.00977,1900.786987
2007/6/5,9119.769531,13933.98047,16318.73047,1912.557007
2007/6/6,8807.570313,13921.05957,16044.44043,1938.67395
2007/6/7,8671.009766,13722.7002,16247.82031,1932.290039
2007/6/8,8500.410156,13975.07031,16008.13965,1942.285034
2007/6/11,8438.099609,13990.90039,16245.44043,1926.94397
2007/6/12,8559.459961,14713.86035,16228.90039,1915.204956
2007/6/13,8588.25,14941.19043,16332.4502,1895.348022
2007/6/14,8764.419922,15284.09961,16694.30078,1913.130981
2007/6/15,8939.519531,15861.67969,16800.06055,1913.901001
2007/6/18,8842.629883,null,17201.78906,1939.626953
2007/6/19,8883.450195,15900.05957,17170.08008,1948.639038
2007/6/20,8958.209961,15876.92969,17144.96094,1942.897949
2007/6/21,null,16120.25977,17004.33984,1947.781006
2007/6/22,9115.469727,16055.04981,16861.91016,1937.260986
2007/6/25,9067.879883,15692.94043,16980.60938,1928.105957
2007/6/26,9036.660156,15857.07031,16914.94922,1895.636963
2007/6/27,8955.44043,16080.33984,16654.41992,1907.93103
2007/6/28,8891.089844,16434.38086,16338.7002,1909.187012
2007/6/29,8935.230469,16267.46973,16318.30957,1902.552002
