Date,TAIEX,DJIA,NASDAQ,SP500
2003/11/19,5865.509766,9628.530273,1893.880005,1035.280029
2003/11/20,5834.240234,9747.790039,1947.140015,1052.079956
2003/11/21,5830.060059,9763.94043,1943.040039,1053.890015
2003/11/24,5821.580078,9779.570313,1953.310059,1058.449951
2003/11/25,5861.180176,9782.459961,1960.26001,1058.199951
2003/11/26,5860.609863,9899.049805,1989.819946,1070.119995
2003/11/27,5740.569824,9853.639648,1980.069946,1066.619995
2003/11/28,5771.77002,9873.419922,1960.25,1064.72998
2003/12/1,5870.169922,9930.820313,1968.800049,1069.719971
2003/12/2,5911.450195,9862.679688,1937.819946,1061.5
2003/12/3,5884.970215,9965.269531,1948.849976,1069.300049
2003/12/4,5920.459961,9923.419922,1908.319946,1060.180054
2003/12/5,5900.049805,9921.860352,1904.650024,1059.050049
2003/12/8,5847.149902,10008.16016,1942.319946,1071.209961
2003/12/9,5859.560059,10042.16016,1949,1074.140015
2003/12/10,5803.419922,10022.82031,1918.26001,1068.040039
2003/12/11,5867.049805,10129.55957,1924.290039,1075.130005
2003/12/12,5858.319824,10145.25977,1921.329956,1076.47998
2003/12/15,5924.240234,10248.08008,1956.180054,1089.180054
2003/12/16,5887.22998,10278.21973,1951.02002,1088.660034
2003/12/17,5752.009766,10338,1955.800049,1092.939941
2003/12/18,5768.759766,10341.25977,1974.780029,1096.02002
2003/12/19,5759.22998,10305.19043,1969.22998,1094.040039
2003/12/22,5835.109863,10324.66992,1973.140015,1095.890015
2003/12/23,5845.509766,10450,2006.47998,1109.47998
2003/12/24,5857.870117,10425.04004,2009.880005,1109.640015
2003/12/25,5853.700195,10453.91992,2003.369995,1111.920044
2003/12/26,5857.209961,10409.84961,2006.680054,1108.47998
2003/12/29,5804.890137,10544.07031,2047.359985,1122.219971
2003/12/30,5866.75,10538.66016,2057.370117,1123.670044
2003/12/31,5890.689941,10529.03027,2077.679932,1126.329956
2004/1/1,null,10592.44043,2100.25,1131.920044
2004/1/2,6041.560059,10458.88965,2086.919922,1121.859985
2004/1/5,6125.419922,10485.17969,2111.780029,1127.22998
2004/1/6,6144.009766,10427.17969,2096.439941,1121.219971
2004/1/7,6141.25,10538.37012,2111.129883,1130.52002
2004/1/8,6169.169922,10553.84961,2109.080078,1132.050049
2004/1/9,6226.97998,10600.50977,2140.459961,1139.829956
2004/1/12,6219.709961,10528.66016,2147.97998,1138.77002
2004/1/13,6210.220215,10623.62012,2142.449951,1147.619995
2004/1/14,6274.970215,10623.17969,2119.01001,1143.939941
2004/1/15,6264.370117,10568.29004,2123.870117,1141.550049
2004/1/16,6269.709961,10702.50977,2153.830078,1155.369995
2004/1/19,null,10609.91992,2116.040039,1144.050049
2004/1/20,null,10468.37012,2077.370117,1128.47998
2004/1/21,null,10510.29004,2068.22998,1134.109985
2004/1/22,null,10488.07031,2066.149902,1131.130005
2004/1/23,null,10499.17969,2063.149902,1135.26001
2004/1/26,null,10505.17969,2066.209961,1136.030029
2004/1/27,6384.629883,10470.74023,2014.140015,1126.52002
2004/1/28,6386.25,10495.54981,2019.560059,1128.589966
2004/1/29,6312.649902,10593.03027,2064.01001,1142.76001
2004/1/30,6375.379883,10579.03027,2060.570068,1139.810059
2004/2/2,6319.959961,10613.84961,2075.330078,1145.540039
2004/2/3,6252.22998,10737.7002,2089.659912,1157.76001
2004/2/4,6241.390137,10694.07031,2073.610107,1152.109985
2004/2/5,6268.140137,10627.84961,2053.560059,1145.810059
2004/2/6,6353.350098,10714.87988,2080.350098,1156.98999
2004/2/9,6463.089844,10671.99023,2076.469971,1151.819946
2004/2/10,6488.339844,10664.73047,2045.959961,1147.060059
2004/2/11,6454.390137,10619.03027,2037.930054,1144.109985
2004/2/12,6436.950195,10609.62012,2007.52002,1140.98999
2004/2/13,6549.180176,10566.37012,2005.439941,1139.089966
2004/2/16,6565.370117,10601.62012,2022.97998,1143.670044
2004/2/17,6600.470215,10580.13965,2032.569946,1144.910034
2004/2/18,6605.850098,10583.91992,2029.819946,1144.939941
2004/2/19,6681.52002,10678.13965,2057.800049,1155.969971
2004/2/20,6665.540039,10591.48047,2039.650024,1149.099976
2004/2/23,6665.890137,10593.11035,2033.359985,1151.030029
2004/2/24,6589.22998,10588,2055.110107,1154.869995
2004/2/25,6644.279785,10595.54981,2047.630005,1156.859985
2004/2/26,6693.25,10529.48047,2008.780029,1147.199951
2004/2/27,6750.540039,10456.95996,1995.160034,1140.579956
2004/3/1,6888.430176,10296.88965,1964.150024,1123.890015
2004/3/2,6975.259766,10128.37988,1943.890015,1106.780029
2004/3/3,6932.169922,10240.08008,1984.72998,1120.569946
2004/3/4,7034.100098,10102.88965,1939.199951,1104.48999
2004/3/5,6943.680176,10184.66992,1943.089966,1110.699951
2004/3/8,6901.47998,10300.29981,1976.76001,1123.75
2004/3/9,6973.899902,10295.78027,1962.439941,1122.319946
2004/3/10,6874.910156,10186.59961,1940.469971,1109.780029
2004/3/11,6879.109863,10064.75,1909.900024,1095.400024
2004/3/12,6800.240234,10063.63965,1901.800049,1093.949951
2004/3/15,6635.97998,10048.23047,1909.47998,1091.329956
2004/3/16,6589.720215,10218.82031,1967.170044,1109.189941
2004/3/17,6577.97998,10212.96973,1960.02002,1108.060059
2004/3/18,6787.029785,10329.62988,1992.569946,1122.469971
2004/3/19,6815.089844,10381.7002,2000.630005,1127
2004/3/22,6359.919922,10357.7002,1994.219971,1126.209961
2004/3/23,6172.890137,10373.33008,2015.01001,1132.170044
2004/3/24,6213.560059,10470.58984,2057.169922,1141.810059
2004/3/25,6156.72998,10558.37012,2079.120117,1150.569946
2004/3/26,6132.620117,10570.80957,2059.899902,1148.160034
2004/3/29,6474.109863,10480.15039,2050.23999,1140.530029
2004/3/30,6494.709961,10442.03027,2052.879883,1139.319946
2004/3/31,6522.189941,10515.55957,2065.47998,1145.199951
2004/4/1,6523.490234,10381.28027,2030.079956,1129.439941
2004/4/2,6545.540039,10377.9502,2024.849976,1128.170044
2004/4/5,6682.72998,10397.45996,2002.170044,1128.839966
2004/4/6,6635.540039,10451.96973,1995.73999,1134.609985
2004/4/7,6646.740234,10437.84961,2020.430054,1135.819946
2004/4/8,6672.859863,10314.5,1978.630005,1118.150024
2004/4/9,6620.359863,10317.26953,1995.630005,1124.089966
2004/4/12,6777.779785,10461.2002,2032.910034,1139.930054
2004/4/13,6794.330078,10472.83984,2049.77002,1140.599976
2004/4/14,6880.180176,10444.73047,2036.77002,1135.530029
2004/4/15,6736.790039,10478.16016,2032.530029,1138.109985
2004/4/16,6818.200195,10342.59961,1989.540039,1122.410034
2004/4/19,6779.180176,10272.26953,1958.780029,1113.890015
2004/4/20,6799.970215,10225.57031,1920.150024,1107.300049
2004/4/21,6810.25,10314,1938.719971,1117.48999
2004/4/22,6732.089844,10317.2002,1950.47998,1119.550049
2004/4/23,6748.100098,10310.9502,1957.26001,1121.530029
2004/4/26,6710.700195,10241.25977,1937.73999,1113.98999
2004/4/27,6646.799805,10117.33984,1917.959961,1098.699951
2004/4/28,6574.75,9990.019531,1896.069946,1087.119995
2004/4/29,6402.209961,10019.46973,1931.349976,1095.449951
2004/4/30,6117.810059,10045.16016,1925.589966,1097.280029
2004/5/3,6029.77002,10010.74023,1926.030029,1096.439941
2004/5/4,6188.149902,10012.87012,1904.25,1095.699951
2004/5/5,5854.22998,9906.910156,1876.640015,1084.099976
2004/5/6,5909.790039,9968.509766,1897.819946,1091.48999
