Date,IBM,Apple,DELL,Microsoft
2002/12/24,79.760002,1.025714,27.54,26.91
2002/12/26,78.5,1.028571,27.38,26.695
2002/12/27,77.360001,1.004286,27.02,26.485001
2002/12/30,76.25,1.005,26.9,26.375
2002/12/31,77.5,1.023571,26.74,25.85
2003/1/2,80.57,1.057143,27.71,26.860001
2003/1/3,81.650002,1.064286,27.71,26.895
2003/1/6,83.589996,1.064286,27.79,27.385
2003/1/7,86,1.060714,28.35,27.9
2003/1/8,84.190002,1.039286,28.64,27.120001
2003/1/9,87,1.048571,28.32,27.905001
2003/1/10,87.68,1.051429,28.3,27.959999
2003/1/13,87.510002,1.045,27.15,28.195
2003/1/14,88.580002,1.043571,25.98,28.485001
2003/1/15,87.589996,1.030714,26.4,28.135
2003/1/16,86.050003,1.044286,25.96,27.674999
2003/1/17,81.300003,1.007143,25.6,25.73
2003/1/21,80.540001,1.001429,24.83,25.665001
2003/1/22,79.699997,0.991429,24.71,25.5
2003/1/23,81.050003,1.012143,24.56,26.139999
2003/1/24,78.989998,0.985714,25.21,24.924999
2003/1/27,78.419998,1.009286,24.38,24.584999
2003/1/28,80.110001,1.041429,24,24.41
2003/1/29,80.32,1.066429,24.81,24.955
2003/1/30,78.300003,1.022857,25.33,24.120001
2003/1/31,78.199997,1.025714,24.18,23.73
2003/2/3,78.18,1.047143,23.86,24.280001
2003/2/4,77.089996,1.042857,23.96,23.66
2003/2/5,77.260002,1.032143,24.43,23.48
2003/2/6,77.510002,1.030714,24.18,23.709999
2003/2/7,77.099998,1.010714,24.02,23.290001
2003/2/10,77.910004,1.025,23.34,23.690001
2003/2/11,77.389999,1.025,22.86,23.219999
2003/2/12,76.5,1.027857,23.24,23.219999
2003/2/13,75.860001,1.038571,22.94,23.495001
2003/2/14,77.449997,1.047857,23.23,24.15
2003/2/18,79.330002,1.090714,25.77,24.959999
2003/2/19,79.510002,1.060714,26.49,24.530001
2003/2/20,79.150002,1.055,26.11,24.139999
2003/2/21,79.949997,1.071429,26.34,24.629999
2003/2/24,78.559998,1.052857,26.84,24.07
2003/2/25,79.07,1.072857,26.38,24.190001
