Date,^JKSE,^HIS
1997/11/30,null,9252.400391
1997/12/31,485.937988,11480.7002
1998/1/31,482.377991,11518.7002
1998/2/28,541.424988,10383.67969
1998/3/31,460.13501,8934.55957
1998/4/30,420.464996,8543.099609
1998/5/31,445.920013,7936.200195
1998/6/30,481.71701,7275.040039
1998/7/31,342.436005,7883.459961
1998/8/31,276.149994,10154.94043
1998/9/30,300.769989,10402.32031
1998/10/31,386.270996,10048.58008
1998/11/30,398.037994,9506.900391
1998/12/31,411.932007,9858.490234
1999/1/31,396.088989,10942.2002
1999/2/28,393.625,13333.2002
1999/3/31,495.221985,12147.12012
1999/4/30,585.242004,13532.13965
1999/5/31,662.025024,13186.86035
1999/6/30,597.874023,13482.76953
1999/7/31,567.026001,12733.24023
1999/8/31,547.937012,13256.9502
1999/9/30,593.869019,15377.19043
1999/10/31,583.799988,16962.09961
1999/11/30,676.919006,15532.33984
1999/12/31,636.372009,17169.43945
2000/1/31,576.541992,17406.53906
2000/2/29,583.276001,15519.29981
2000/3/31,526.737,14713.86035
2000/4/30,454.326996,16155.78027
2000/5/31,515.109985,16840.98047
2000/6/30,492.192993,17097.50977
2000/7/31,466.380005,15648.98047
2000/8/31,421.335999,14895.33984
2000/9/30,405.346985,13984.38965
2000/10/31,429.213989,15095.53027
2000/11/30,416.321014,16102.34961
2000/12/31,425.614014,14787.87012
2001/1/31,428.303009,12760.63965
2001/2/28,381.049988,13386.04004
2001/3/31,358.231995,13174.41016
2001/4/30,405.863007,13042.53027
2001/5/31,437.619995,12316.69043
2001/6/30,470.229004,11090.48047
2001/7/31,443.194,9950.700195
2001/8/31,392.476013,10073.96973
2001/9/30,383.734985,11279.25
2001/10/31,380.308014,11397.20996
2001/11/30,392.036011,10725.29981
2001/12/31,451.635986,10482.54981
2002/1/31,453.246002,11032.91992
2002/2/28,481.774994,11497.58008
2002/3/31,534.062012,11301.94043
2002/4/30,530.789978,10598.54981
2002/5/31,505.009003,10267.36035
2002/6/30,463.669006,10043.87012
2002/7/31,443.674011,9072.209961
2002/8/31,419.307007,9441.25
2002/9/30,369.044006,10069.87012
2002/10/31,390.424988,9321.290039
2002/11/30,424.945007,9258.950195
2002/12/31,388.442993,9122.660156
2003/1/31,399.220001,8634.450195
2003/2/28,398.003998,8717.219727
2003/3/31,450.860992,9487.379883
2003/4/30,494.776001,9577.120117
2003/5/31,505.498993,10134.83008
