Date,^BSVP,DJI,N225,SSEC
2006/1/26,36632,11097.54981,15696.69043,1209.421997
2006/1/27,37400,10993.41016,15360.65039,1215.667969
2006/1/30,null,11053.53027,15648.88965,1220.618042
2006/1/31,38014,11025.50977,15651,1211.052979
2006/2/1,37822,11021.58984,15891.01953,1226.703979
2006/2/2,38242,10958.58984,16460.67969,1221.458984
2006/2/3,38383,10980.69043,16551.23047,1202.869019
2006/2/6,38485,11005.74023,16649.82031,1208.437988
2006/2/7,37304,10972.28027,16480.08984,1233.349976
2006/2/8,37262,11076.33984,16710.55078,1251.57605
2006/2/9,37321,11076.01953,16659.64063,1255.307983
2006/2/10,36562,11151.33984,16747.75977,1255.774048
2006/2/13,36499,11209.76953,16720.99023,1252.062012
2006/2/14,36882,11253.24023,16272.67969,1258.046021
2006/2/15,36975,11279.65039,16439.66992,1287.625977
2006/2/16,36114,11274.53027,16257.83008,1282.095947
2006/2/17,36627,11235.46973,15877.66016,1290.055054
2006/2/20,37239,11317.42969,16184.87012,1269.453979
2006/2/21,38256,11270.29004,15932.83008,1282.656006
2006/2/22,38422,11279.96973,16043.66992,1279.640015
2006/2/23,38539,11250.11035,15713.4502,1286.327026
2006/2/24,38166,11154.54004,15437.92969,1299.166016
2006/2/27,38246,11215.7002,15894.94043,1270.633057
2006/2/28,38405,11150.7002,15781.78027,1267.407959
2006/3/1,38610,11109.32031,16096.09961,1267.541992
2006/3/2,null,11144.94043,16101.91016,1288.418945
2006/3/3,null,11203.84961,16192.9502,1284.225952
2006/3/6,39178,11239.54981,16205.42969,1288.847046
2006/3/7,39126,11216.5,15964.45996,1296.865967
2006/3/8,39240,11120.04004,15909.75977,1297.186035
2006/3/9,38354,11141.33008,15663.33984,1299.030029
2006/3/10,37423,11089.62988,15901.16016,1306.58606
2006/3/13,37289,11129.96973,15726.01953,1285.666016
2006/3/14,36312,11137.65039,15627.49023,1293.296997
2006/3/15,36891,11073.78027,16036.91016,1288.954956
2006/3/16,36793,11268.76953,16115.62988,1259.916016
2006/3/17,37541,11278.76953,16361.50977,1250.384033
2006/3/20,38244,11342.88965,16238.36035,1245.166016
2006/3/21,38157,11347.4502,16319.04004,1245.652954
2006/3/22,38049,11336.32031,16096.20996,1259.67395
2006/3/23,38204,11283.25,16339.73047,1259.043945
2006/3/24,37398,11354.49023,16624.80078,1274.812012
2006/3/27,37851,11382.50977,null,1274.189941
2006/3/28,37474,11367.13965,16495.48047,1269.462036
2006/3/29,37577,11343.29004,16489.36914,1288.417969
2006/3/30,37641,11416.4502,16560.86914,1290.39502
2006/3/31,36682,11400.28027,16650.09961,1296.706055
2006/4/3,37492,11438.86035,16690.24023,1302.457031
2006/4/4,37777,11577.74023,16938.41016,1294.703979
2006/4/5,37952,11584.54004,17045.33984,1295.915039
2006/4/6,38717,11639.76953,17059.66016,1298.791016
2006/4/7,38802,11642.65039,17333.31055,1305.567017
2006/4/10,39053,11500.73047,17292.91016,1294.718018
2006/4/11,39285,11380.99023,17243.98047,1298.295044
2006/4/12,38926,11428.76953,17489.33008,1319.470947
2006/4/13,38475,11419.88965,17563.36914,1329.797974
2006/4/14,37901,11205.61035,17456.58008,1340.161987
2006/4/17,38427,11128.29004,17418.13086,1339.737061
2006/4/18,38082,11144.05957,17162.55078,1342.964966
2006/4/19,null,11125.33008,17199.15039,1359.081055
2006/4/20,38462,11098.34961,17233.82031,1362.229004
2006/4/21,39572,11117.32031,17000.35938,1360.131958
2006/4/24,39938,11211.04981,17232.85938,1332.329956
2006/4/25,39775,11278.61035,17350.11914,1359.537964
2006/4/26,null,11094.42969,17317.5293,1378.614014
2006/4/27,39751,11168.30957,17403.96094,1385.114014
2006/4/28,39738,11260.28027,16914.40039,1396.702026
2006/5/1,40410,11247.87012,16970.28906,1385.900024
2006/5/2,39751,11048.71973,17055.92969,1416.792969
2006/5/3,40363,11002.13965,17114.53906,1409.786011
2006/5/4,null,10930.90039,16906.23047,1399.766968
2006/5/5,41017,10938.82031,16925.71094,1417.477051
2006/5/8,40920,10891.91992,17153.76953,1416.732056
2006/5/9,40976,10792.58008,null,1440.223022
2006/5/10,41417,10706.13965,null,1497.104004
2006/5/11,41515,10816.91992,null,1531.161011
2006/5/12,41979,11015.19043,17291.66992,1545.687012
2006/5/15,41752,11014.54981,17190.91016,1537.376953
2006/5/16,40847,10942.11035,16951.92969,1602.832031
2006/5/17,40223,10974.83984,16862.14063,1664.088013
2006/5/18,39271,11079.45996,16601.7793,1613.250977
2006/5/19,39416,11019.11035,16486.91016,1625.145996
2006/5/22,38291,10989.08984,16158.41992,1617.281006
2006/5/23,37807,11045.28027,16307.66992,1659.545044
2006/5/24,37733,10924.74023,16087.17969,1657.688965
2006/5/25,36497,10973.55957,16155.4502,1604.552002
2006/5/26,36110,11190.79981,15857.87012,1590.92395
2006/5/29,35792,11150.21973,15599.2002,1591.425049
2006/5/30,37569,11228.01953,15907.2002,1613.894043
2006/5/31,38506,11151.82031,15693.75,1648.537964
2006/6/1,38145,11225.29981,15970.75977,1657.287964
2006/6/2,36413,11090.66992,15915.67969,1641.300049
2006/6/5,36530,11103.54981,15859.4502,1684.194946
2006/6/6,37748,11134.76953,15467.33008,1669.399048
2006/6/7,37942,11013.17969,15503.74023,1684.624023
2006/6/8,36740,10846.29004,15789.30957,1679.125977
2006/6/9,36558,10739.34961,15668.30957,1589.545044
2006/6/12,35264,10747.36035,15384.86035,1591.48999
2006/6/13,35438,10799.23047,15096.00977,1551.384033
